"No.","Time","Source","Destination","Protocol","Length","Info"
"62","4.194638","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=18586 Win=65616 Len=0"
"63","4.345395","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"64","4.346096","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=21320 Win=65616 Len=0"
"65","4.346151","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"66","4.346229","www.google.at","192.168.66.22","TLSv1","1413","Application Data"
"67","4.346877","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"68","4.346937","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"69","4.346941","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=24046 Win=65616 Len=0"
"70","4.347675","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=26780 Win=65616 Len=0"
"71","4.369829","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"72","4.369896","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"73","4.369958","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"74","4.370544","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=29514 Win=65616 Len=0"
"75","4.372287","192.168.66.22","www.google.at","TCP","60","50395  >  http(80) [FIN, ACK] Seq=285 Ack=1117 Win=64500 Len=0"
"76","4.372289","192.168.66.22","www.google.at","TCP","66","50397  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"77","4.391293","192.168.66.22","192.168.66.1","DNS","75","Standard query 0x87dd A ssl.gstatic.com"
"78","4.504100","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"79","4.504809","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=32248 Win=65616 Len=0"
"80","4.507862","192.168.66.22","www.google.at","TCP","66","50398  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"81","4.511390","192.168.66.22","www.google.at","TCP","66","50399  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"82","4.531014","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"83","4.531081","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"84","4.531778","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"85","4.531779","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=34982 Win=65616 Len=0"
"86","4.580461","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"87","4.581142","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=37716 Win=65616 Len=0"
"88","4.581245","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"89","4.581316","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"90","4.581996","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=40450 Win=65616 Len=0"
"91","4.582012","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"92","4.615535","www.google.at","192.168.66.22","TLSv1","1421","Application Data, Application Data"
"93","4.616234","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=43184 Win=65616 Len=0"
"94","4.617097","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"95","4.617877","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"96","4.618541","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=45918 Win=65616 Len=0"
"97","4.656373","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"98","4.656427","www.google.at","192.168.66.22","TLSv1","222","Application Data"
"99","4.657054","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=756 Ack=47453 Win=65616 Len=0"
"100","4.689284","192.168.66.22","www.google.at","TLSv1","811","Application Data"
"101","4.809131","www.google.at","192.168.66.22","TCP","54","http(80)  >  50395 [FIN, ACK] Seq=1117 Ack=286 Win=44032 Len=0"
"102","4.809168","www.google.at","192.168.66.22","TCP","66","https(443)  >  50397 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"103","4.809261","192.168.66.1","192.168.66.22","DNS","107","Standard query response 0x87dd A ssl.gstatic.com A 173.194.67.94 A 173.194.67.120"
"104","4.809338","www.google.at","192.168.66.22","TCP","66","https(443)  >  50399 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"105","4.809369","www.google.at","192.168.66.22","TCP","66","https(443)  >  50398 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"106","4.809462","192.168.66.22","www.google.at","TCP","60","50395  >  http(80) [ACK] Seq=286 Ack=1118 Win=64500 Len=0"
"107","4.809464","192.168.66.22","www.google.at","TCP","60","50397  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"108","4.809465","192.168.66.22","www.google.at","TCP","60","50399  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"109","4.809846","192.168.66.22","www.google.at","TCP","60","50398  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"110","4.810966","192.168.66.22","ssl.gstatic.com","TCP","66","50400  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"111","4.810968","192.168.66.22","ssl.gstatic.com","TCP","66","50401  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"112","4.811335","192.168.66.22","www.google.at","TLSv1","203","Client Hello (SNI=www.google.at)"
"113","4.811337","192.168.66.22","www.google.at","TLSv1","203","Client Hello (SNI=www.google.at)"
"114","4.811683","192.168.66.22","www.google.at","TLSv1","203","Client Hello (SNI=www.google.at)"
"115","4.894458","192.168.66.22","192.168.66.1","DNS","75","Standard query 0xf638 A www.gstatic.com"
"116","4.900650","www.google.at","192.168.66.22","TCP","54","https(443)  >  50396 [ACK] Seq=47453 Ack=1513 Win=46592 Len=0"
"117","4.900708","www.google.at","192.168.66.22","TLSv1","1419","Application Data"
"118","4.900771","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"119","4.901437","www.google.at","192.168.66.22","TLSv1","1417","Application Data"
"120","4.901457","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=50185 Win=65616 Len=0"
"121","4.901511","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"122","4.901567","www.google.at","192.168.66.22","TLSv1","1417","Application Data"
"123","4.901633","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"124","4.901688","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"125","4.902122","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=52915 Win=65616 Len=0"
"126","4.902124","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=55645 Win=65616 Len=0"
"127","4.902192","www.google.at","192.168.66.22","TLSv1","1415","Application Data"
"128","4.902254","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"129","4.902312","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"130","4.902520","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=58373 Win=65616 Len=0"
"131","4.903018","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=61107 Win=65616 Len=0"
"132","4.920602","www.google.at","192.168.66.22","TLSv1","1415","Application Data"
"133","4.921383","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"134","4.922051","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=63835 Win=65616 Len=0"
"135","4.922154","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"136","5.055056","www.google.at","192.168.66.22","TLSv1","1415","Application Data"
"137","5.055749","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=66563 Win=65616 Len=0"
"138","5.056584","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"139","5.060587","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"140","5.061282","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=69297 Win=65616 Len=0"
"141","5.061371","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"142","5.061440","www.google.at","192.168.66.22","TLSv1","1413","Application Data"
"143","5.062127","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=72023 Win=65616 Len=0"
"144","5.062142","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"145","5.062216","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"146","5.062275","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"147","5.062333","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"148","5.062391","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"149","5.062824","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=74757 Win=65616 Len=0"
"150","5.062892","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"151","5.062933","www.google.at","192.168.66.22","TCP","66","[TCP Out-Of-Order] https(443)  >  50397 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"152","5.063164","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=77491 Win=65616 Len=0"
"153","5.063568","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=80225 Win=65616 Len=0"
"154","5.063569","192.168.66.22","www.google.at","TCP","66","[TCP Dup ACK 107#1] 50397  >  https(443) [ACK] Seq=150 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"155","5.081461","www.google.at","192.168.66.22","TCP","54","https(443)  >  50399 [ACK] Seq=1 Ack=150 Win=44032 Len=0"
"156","5.081497","www.google.at","192.168.66.22","TCP","54","https(443)  >  50397 [ACK] Seq=1 Ack=150 Win=44032 Len=0"
"157","5.081528","www.google.at","192.168.66.22","TCP","54","https(443)  >  50398 [ACK] Seq=1 Ack=150 Win=44032 Len=0"
"158","5.081587","www.google.at","192.168.66.22","TLSv1","1421","Server Hello"
"159","5.081647","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50399 [ACK] Seq=1368 Ack=150 Win=44032 Len=1367 [TCP segment of a reassembled PDU]"
"160","5.081701","www.google.at","192.168.66.22","TLSv1","844","Certificate, Server Key Exchange, Server Hello Done"
"161","5.082225","www.google.at","192.168.66.22","TLSv1","1421","Server Hello"
"162","5.082261","192.168.66.22","www.google.at","TCP","60","50399  >  https(443) [ACK] Seq=150 Ack=2735 Win=65616 Len=0"
"163","5.082289","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50397 [ACK] Seq=1368 Ack=150 Win=44032 Len=1367 [TCP segment of a reassembled PDU]"
"164","5.083001","www.google.at","192.168.66.22","TLSv1","844","Certificate, Server Key Exchange, Server Hello Done"
"165","5.083024","192.168.66.22","www.google.at","TCP","60","50397  >  https(443) [ACK] Seq=150 Ack=2735 Win=65616 Len=0"
"166","5.083078","www.google.at","192.168.66.22","TLSv1","1421","Server Hello"
"167","5.115457","192.168.66.22","www.google.at","TLSv1","188","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"168","5.123746","192.168.66.22","www.google.at","TLSv1","188","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"169","5.205261","www.google.at","192.168.66.22","TCP","1421","https(443)  >  50398 [ACK] Seq=1368 Ack=150 Win=44032 Len=1367 [TCP segment of a reassembled PDU]"
"170","5.205338","www.google.at","192.168.66.22","TLSv1","844","Certificate, Server Key Exchange, Server Hello Done"
"171","5.205964","192.168.66.22","www.google.at","TCP","60","50398  >  https(443) [ACK] Seq=150 Ack=2735 Win=65616 Len=0"
"172","5.206020","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"173","5.214631","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"174","5.214738","192.168.66.1","192.168.66.22","DNS","107","Standard query response 0xf638 A www.gstatic.com A 173.194.78.94 A 173.194.78.120"
"175","5.215307","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=82959 Win=65616 Len=0"
"176","5.215474","ssl.gstatic.com","192.168.66.22","TCP","66","https(443)  >  50400 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"177","5.215509","ssl.gstatic.com","192.168.66.22","TCP","66","https(443)  >  50401 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"178","5.215803","192.168.66.22","ssl.gstatic.com","TCP","60","50400  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"179","5.215804","192.168.66.22","ssl.gstatic.com","TCP","60","50401  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
"180","5.216420","192.168.66.22","www.gstatic.com","TCP","66","50402  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"181","5.216422","192.168.66.22","www.gstatic.com","TCP","66","50403  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"182","5.217755","192.168.66.22","ssl.gstatic.com","SSLv2","126","Client Hello"
"183","5.217757","192.168.66.22","ssl.gstatic.com","SSLv2","126","Client Hello"
"184","5.220054","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"185","5.220839","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"186","5.220907","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"187","5.221175","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=85693 Win=65616 Len=0"
"188","5.221584","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"189","5.221646","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"190","5.221916","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=88427 Win=65616 Len=0"
"191","5.222366","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"192","5.222425","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"193","5.222485","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"194","5.222696","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=91161 Win=65616 Len=0"
"195","5.223028","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=93895 Win=65616 Len=0"
"196","5.228960","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"197","5.229025","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"198","5.229711","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=96629 Win=65616 Len=0"
"199","5.238711","192.168.66.22","www.google.at","TLSv1","188","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"200","5.244864","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"201","5.245647","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"202","5.245715","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"203","5.245773","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"204","5.246323","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=99363 Win=65616 Len=0"
"205","5.246325","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=102097 Win=65616 Len=0"
"206","5.264303","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"207","5.265084","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"208","5.265156","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"209","5.265757","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=104831 Win=65616 Len=0"
"210","5.265863","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"211","5.266190","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=107565 Win=65616 Len=0"
"212","5.281096","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"213","5.281878","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"214","5.282541","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=110299 Win=65616 Len=0"
"215","5.355386","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"216","5.356165","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"217","5.356830","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=113033 Win=65616 Len=0"
"218","5.365159","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"219","5.377902","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"220","5.378596","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=115767 Win=65616 Len=0"
"221","5.401606","www.google.at","192.168.66.22","TLSv1","113","Change Cipher Spec, Encrypted Handshake Message"
"222","5.401643","www.google.at","192.168.66.22","TLSv1","113","Change Cipher Spec, Encrypted Handshake Message"
"223","5.401702","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"224","5.402393","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"225","5.403058","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=118501 Win=65616 Len=0"
"226","5.403161","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"227","5.409719","192.168.66.22","www.google.at","TLSv1","699","Application Data"
"228","5.410281","192.168.66.22","www.google.at","TLSv1","699","Application Data"
"229","5.413811","www.google.at","192.168.66.22","TLSv1","1421","Application Data"
"230","5.413865","ssl.gstatic.com","192.168.66.22","TCP","66","[TCP Out-Of-Order] https(443)  >  50400 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"231","5.413902","www.gstatic.com","192.168.66.22","TCP","66","https(443)  >  50403 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"232","5.413934","ssl.gstatic.com","192.168.66.22","TCP","54","https(443)  >  50400 [ACK] Seq=1 Ack=73 Win=43008 Len=0"
"233","5.413966","www.gstatic.com","192.168.66.22","TCP","66","https(443)  >  50402 [SYN, ACK] Seq=0 Ack=1 Win=42900 Len=0 MSS=1367 SACK_PERM WS=128"
"234","5.413998","ssl.gstatic.com","192.168.66.22","TCP","54","https(443)  >  50401 [ACK] Seq=1 Ack=73 Win=43008 Len=0"
"235","5.414501","192.168.66.22","www.google.at","TCP","60","50396  >  https(443) [ACK] Seq=1513 Ack=121235 Win=65616 Len=0"
"236","5.414503","192.168.66.22","ssl.gstatic.com","TCP","66","[TCP Dup ACK 178#1] 50400  >  https(443) [ACK] Seq=73 Ack=1 Win=65616 Len=0 SLE=0 SRE=1"
"237","5.414504","192.168.66.22","www.gstatic.com","TCP","60","50403  >  https(443) [ACK] Seq=1 Ack=1 Win=65616 Len=0"
